username,latitude,longitude,noise_value,date_time,tolerance_level,noise_category,region_category,aqi_value
Abhimanyu,22.49861667,88.383475,58.5,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49863667,88.38352833,55.9,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49865833,88.38356167,53,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.498665,88.383595,54.9,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49869667,88.383615,55.8,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49871833,88.38365167,54.6,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49876,88.38369,55.4,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49879667,88.383735,56.7,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.498835,88.38376667,55.9,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.498875,88.38378667,59.6,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49891667,88.383825,59.6,21-01-2018 10:00,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897833,88.38387,58.5,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897833,88.38387,60.2,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49897833,88.38387,65,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49906833,88.38383833,63.8,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49907333,88.38382833,67.6,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.499165,88.38381333,61.7,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49923167,88.383805,58.2,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.4993,88.38379667,57.7,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49932,88.38383,60.5,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49932333,88.38387,64.8,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49940333,88.38393333,67.5,21-01-2018 10:01,Normal,Traffic,Street/Road,0
Abhimanyu,22.49951,88.38396167,66.4,21-01-2018 10:02,Normal,Traffic,Street/Road,0
